signal,w,h_min,ic_demeaned,mean_daily_ic_dm,t_dm
qimb,30,1,NaN,NaN,NaN
qimb,30,2,NaN,NaN,NaN
qimb,30,5,NaN,NaN,NaN
qimb,60,1,NaN,NaN,NaN
qimb,60,2,NaN,NaN,NaN
qimb,60,5,NaN,NaN,NaN
qimb,120,1,NaN,NaN,NaN
qimb,120,2,NaN,NaN,NaN
qimb,120,5,NaN,NaN,NaN
ofi,30,1,NaN,NaN,NaN
ofi,30,2,NaN,NaN,NaN
ofi,30,5,NaN,NaN,NaN
ofi,60,1,NaN,NaN,NaN
ofi,60,2,NaN,NaN,NaN
ofi,60,5,NaN,NaN,NaN
ofi,120,1,NaN,NaN,NaN
ofi,120,2,NaN,NaN,NaN
ofi,120,5,NaN,NaN,NaN
stflow,30,1,NaN,NaN,NaN
stflow,30,2,NaN,NaN,NaN
stflow,30,5,NaN,NaN,NaN
stflow,60,1,NaN,NaN,NaN
stflow,60,2,NaN,NaN,NaN
stflow,60,5,NaN,NaN,NaN
stflow,120,1,NaN,NaN,NaN
stflow,120,2,NaN,NaN,NaN
stflow,120,5,NaN,NaN,NaN
