signal,w,h_min,ic_oos,mean_daily_ic_oos,t_oos,n_oos
qimb,30,1,NaN,NaN,NaN,322471
qimb,30,2,NaN,NaN,NaN,322471
qimb,30,5,NaN,NaN,NaN,322471
qimb,60,1,NaN,NaN,NaN,322471
qimb,60,2,NaN,NaN,NaN,322471
qimb,60,5,NaN,NaN,NaN,322471
qimb,120,1,NaN,NaN,NaN,322471
qimb,120,2,NaN,NaN,NaN,322471
qimb,120,5,NaN,NaN,NaN,322471
ofi,30,1,NaN,NaN,NaN,322471
ofi,30,2,NaN,NaN,NaN,322471
ofi,30,5,NaN,NaN,NaN,322471
ofi,60,1,NaN,NaN,NaN,322471
ofi,60,2,NaN,NaN,NaN,322471
ofi,60,5,NaN,NaN,NaN,322471
ofi,120,1,NaN,NaN,NaN,322471
ofi,120,2,NaN,NaN,NaN,322471
ofi,120,5,NaN,NaN,NaN,322471
stflow,30,1,NaN,NaN,NaN,322471
stflow,30,2,NaN,NaN,NaN,322471
stflow,30,5,NaN,NaN,NaN,322471
stflow,60,1,NaN,NaN,NaN,322471
stflow,60,2,NaN,NaN,NaN,322471
stflow,60,5,NaN,NaN,NaN,322471
stflow,120,1,NaN,NaN,NaN,322471
stflow,120,2,NaN,NaN,NaN,322471
stflow,120,5,NaN,NaN,NaN,322471
