embargo,feature,days,H1_mag_ic,H1_shuffle_z,H1_partial_ic,H1_collapse,H1_oos,H2_dir_ic,H2_shuffle_z,H2_net5_median_bps,H2_net5_mean_bps,H2_net5_win,H2_net10_median_bps
1,news_count_24h,130,0.0003149508374264405,0.017905547288408128,0.0348748833688955,0.4466517667584492,FLIP(-0.004/+0.004),0.0012097110187174924,0.43640763481299344,-22.33914428362072,-20.821364936352314,0.2846153846153846,-42.33914428362072
1,news_hot_z_24h,116,-0.02134541342220757,-2.1141434049126984,0.0319603343194706,1.6510899567198685,FLIP(-0.108/+0.042),0.0047416368429788035,0.45453084236586794,-20.83354716731382,-30.494023313390358,0.415929203539823,-40.83354716731382
1,news_burst_24h,116,-0.06147004456628131,-5.7697823050113,0.032808307816966316,0.5510223006924599,consistent(-0.117/-0.031),0.008762319130907938,1.0063698750382104,-24.29221935103926,-27.82123939888709,0.40707964601769914,-44.292219351039265
1,news_excl_24h,130,-0.03187039500479788,-5.884220650864121,0.018530224721140298,0.47088066360563763,consistent(-0.029/-0.043),0.0059314255070235175,1.8934458660900597,-15.63628553189063,-17.454603579709826,0.3076923076923077,-35.63628553189063
1,news_velocity_24h,130,0.0003149508374264399,0.017905547288407972,0.03487488336889551,0.4466517667584492,FLIP(-0.004/+0.004),0.0012097110187174913,0.43640763481299305,-22.33914428362072,-20.821364936352314,0.2846153846153846,-42.33914428362072
5,news_count_24h,130,-0.0006084001727208021,-0.2772347069711606,0.03570387310240009,0.46127828313649283,FLIP(-0.007/+0.004),0.0010993931849808346,0.3535407113266982,-20.957700417299296,-20.913825764344512,0.2692307692307692,-40.9577004172993
5,news_hot_z_24h,116,-0.020001248488562648,-2.0380663937449857,0.033088545304138295,1.8381239151113402,FLIP(-0.108/+0.044),0.006028536738869729,0.5759455525245326,-19.33529733276999,-28.745766042425792,0.4247787610619469,-39.33529733276999
5,news_burst_24h,116,-0.060167799729964944,-5.716356185052224,0.034307565327739806,0.5892013994627059,consistent(-0.116/-0.030),0.009259355622698848,1.0493429314628913,-24.29221935103926,-27.22615588571796,0.40707964601769914,-44.292219351039265
5,news_excl_24h,130,-0.031824478333441486,-5.890672830047972,0.017543105553289962,0.4397630898170421,consistent(-0.029/-0.043),0.006003065689600094,1.9369613948738016,-15.161202014807932,-16.739702766155364,0.3384615384615385,-35.161202014807934
5,news_velocity_24h,130,-0.0006084001727208007,-0.2772347069711602,0.03570387310240009,0.4612782831364929,FLIP(-0.007/+0.004),0.0010993931849808355,0.3535407113266985,-20.957700417299296,-20.913825764344516,0.2692307692307692,-40.9577004172993
15,news_count_24h,130,0.001973973196261204,0.49266587113013316,0.03490639741423951,0.44621264460356475,FLIP(-0.006/+0.008),0.00025087417451339836,0.10947610825015615,-21.623871414346933,-20.828624732310313,0.3076923076923077,-41.62387141434694
15,news_hot_z_24h,116,-0.020293441941217967,-2.1073231085439197,0.03361076076523182,1.837055777411374,FLIP(-0.111/+0.045),0.0032574101841587543,0.352000695670535,-25.111990972724428,-29.96068398156868,0.40707964601769914,-45.11199097272442
15,news_burst_24h,116,-0.06142627690153249,-5.893209859641851,0.03322960896667571,0.5585122655778659,consistent(-0.121/-0.028),0.006466078147867686,0.8309606582167073,-18.766561050475183,-27.205136787018226,0.415929203539823,-38.76656105047518
15,news_excl_24h,130,-0.03155221415637353,-5.788072070282872,0.016748067684268578,0.41179012099354795,consistent(-0.029/-0.043),0.005712556701339976,1.8645059714405903,-15.365373785523069,-17.050889900601497,0.3153846153846154,-35.36537378552307
15,news_velocity_24h,130,0.001973973196261203,0.4926658711301329,0.03490639741423951,0.44621264460356463,FLIP(-0.006/+0.008),0.0002508741745133978,0.10947610825015595,-21.623871414346933,-20.828624732310313,0.3076923076923077,-41.62387141434694
