feature_class,global_gain_pct,tail_abs_shap,rest_abs_shap,tail_lean_ratio
volatility,38.33110243654836,0.02598410400055254,0.015084192245724742,1.722604934839459
candlestick,2.8790220463836667,0.002649355916099356,0.0029282007344118635,0.9047726424505135
price_returns,52.61037907384337,0.043828634326003514,0.021397587989613973,2.048297889803149
microstructure_burst,0.8636435712582129,0.0006881906935714171,0.0006979867553699592,0.9859652611984738
trade_flow,2.1888289111125245,0.0011115698237542367,0.0016693665954072463,0.6658632242985947
liquidity,3.1270239608538697,0.0026348466013219373,0.002630493905665147,1.0016547066113388
ohlc_vol,0.0,0.0,0.0,NaN
momentum,0.0,0.0,0.0,NaN
momentum_run,0.0,0.0,0.0,NaN
efficiency,0.0,0.0,0.0,NaN
trend_quality,0.0,0.0,0.0,NaN
swing,0.0,0.0,0.0,NaN
return_dynamics,0.0,0.0,0.0,NaN
distribution,0.0,0.0,0.0,NaN
market_beta,0.0,0.0,0.0,NaN
